date,value
1960-01-01,6.228
1960-04-01,6.631
1960-07-01,6.484
1960-10-01,6.598
1961-01-01,6.576
1961-04-01,6.564
1961-07-01,6.506
1961-10-01,6.759
1962-01-01,6.743
1962-04-01,7.34
1962-07-01,6.898
1962-10-01,6.746
1963-01-01,6.912
1963-04-01,7.749
1963-07-01,7.291
1963-10-01,7.67
1964-01-01,8.164
1964-04-01,8.287
1964-07-01,8.274
1964-10-01,8.619
1965-01-01,7.815
1965-04-01,9.324
1965-07-01,8.763
1965-10-01,9.386
1966-01-01,9.366
1966-04-01,9.874
1966-07-01,9.591
1966-10-01,10.096
1967-01-01,10.482
1967-04-01,10.359
1967-07-01,10.07
1967-10-01,10.423
1968-01-01,10.814
1968-04-01,11.26
1968-07-01,11.784
1968-10-01,11.688
1969-01-01,10.352
1969-04-01,12.819
1969-07-01,12.645
1969-10-01,13.404
1970-01-01,13.493
1970-04-01,14.389
1970-07-01,14.29
1970-10-01,14.468
1971-01-01,14.968
1971-04-01,14.965
1971-07-01,15.52
1971-10-01,14.224
1972-01-01,16.306
1972-04-01,15.851
1972-07-01,16.985
1972-10-01,18.082
1973-01-01,20.053
1973-04-01,21.94
1973-07-01,23.416
1973-10-01,25.832
1974-01-01,27.803
1974-04-01,30.191
1974-07-01,30.262
1974-10-01,32.641
1975-01-01,33.934
1975-04-01,32.673
1975-07-01,31.995
1975-10-01,33.984
1976-01-01,34.131
1976-04-01,34.916
1976-07-01,36.367
1976-10-01,37.302
1977-01-01,37.162
1977-04-01,38.753
1977-07-01,38.743
1977-10-01,37.642
1978-01-01,39.174
1978-04-01,44.446
1978-07-01,45.726
1978-10-01,49.081
1979-01-01,51.139
1979-04-01,53.598
1979-07-01,57.04
1979-10-01,62.353
1980-01-01,65.234
1980-04-01,67.458
1980-07-01,68.373
1980-10-01,70.77
1981-01-01,74.001
1981-04-01,74.533
1981-07-01,72.866
1981-10-01,73.001
1982-01-01,71.195
1982-04-01,71.531
1982-07-01,68.092
1982-10-01,64.418
1983-01-01,65.437
1983-04-01,65.433
1983-07-01,66.632
1983-10-01,68.608
1984-01-01,70.344
1984-04-01,72.671
1984-07-01,73.829
1984-10-01,74.25
1985-01-01,73.093
1985-04-01,72.368
1985-07-01,70.797
1985-10-01,72.815
1986-01-01,74.588
1986-04-01,77.74
1986-07-01,77.614
1986-10-01,80.096
1987-01-01,80.298
1987-04-01,84.942
1987-07-01,89.203
1987-10-01,94.422
1988-01-01,102.253
1988-04-01,107.109
1988-07-01,109.394
1988-10-01,112.394
1989-01-01,116.898
1989-04-01,122.592
1989-07-01,123.059
1989-10-01,124.456
1990-01-01,130.086
1990-04-01,132.261
1990-07-01,134.629
1990-10-01,138.259
1991-01-01,139.149
1991-04-01,143.419
1991-07-01,146.098
1991-10-01,149.679
1992-01-01,152.226
1992-04-01,152.074
1992-07-01,155.456
1992-10-01,157.124
1993-01-01,158.083
1993-04-01,159.714
1993-07-01,159.689
1993-10-01,165.371
1994-01-01,167.195
1994-04-01,172.229
1994-07-01,179.614
1994-10-01,184.219
1995-01-01,190.543
1995-04-01,195.683
1995-07-01,202.972
1995-10-01,205.186
1996-01-01,207.994
1996-04-01,212.211
1996-07-01,210.52
1996-10-01,220.873
1997-01-01,225.185
1997-04-01,234.541
1997-07-01,238.01
1997-10-01,236.721
1998-01-01,235.75
1998-04-01,231.733
1998-07-01,228.84
1998-10-01,236.849
1999-01-01,233.541
1999-04-01,236.437
1999-07-01,244.897
1999-10-01,252.422
2000-01-01,258.457
2000-04-01,266.883
2000-07-01,274.391
2000-10-01,272.523
2001-01-01,268.214
2001-04-01,258.306
2001-07-01,243.213
2001-10-01,232.802
2002-01-01,236.375
2002-04-01,244.965
2002-07-01,248.162
2002-10-01,245.105
2003-01-01,246.678
2003-04-01,247.5
2003-07-01,255.161
2003-10-01,268.127
2004-01-01,279.565
2004-04-01,286.74
2004-07-01,290.783
2004-10-01,300.871
2005-01-01,311.054
2005-04-01,318.75
2005-07-01,320.844
2005-10-01,332.45
2006-01-01,347.913
2006-04-01,360.03
2006-07-01,364.547
2006-10-01,380.357
2007-01-01,390.421
2007-04-01,402.791
2007-07-01,417.945
2007-10-01,437.079
2008-01-01,453.219
2008-04-01,477.538
2008-07-01,480.017
2008-10-01,423.755
2009-01-01,376.44
2009-04-01,377.297
2009-07-01,396.333
2009-10-01,424.669
2010-01-01,437.053
2010-04-01,451.313
2010-07-01,467.26
2010-10-01,493.3
2011-01-01,510.655
2011-04-01,529.034
2011-07-01,541.434
2011-10-01,540.311
2012-01-01,546.36
2012-04-01,552.637
2012-07-01,553.777
2012-10-01,558.221
2013-01-01,561.146
2013-04-01,564.002
2013-07-01,569.209
2013-10-01,580.059
2014-01-01,572.331
